threshold, avg_num_keypoints
5.000000000000000104e-03,8.287275862068965580e+03
6.000000000000000125e-03,6.410862068965517210e+03
7.000000000000000146e-03,5.035448275862068840e+03
8.000000000000000167e-03,4.036379310344827445e+03
9.000000000000001055e-03,3.262620689655172555e+03
1.000000000000000021e-02,2.665413793103448370e+03
1.099999999999999936e-02,2.171724137931034420e+03
1.200000000000000025e-02,1.774034482758620697e+03
1.300000000000000114e-02,1.457172413793103487e+03
1.400000000000000029e-02,1.200137931034482790e+03
