threshold, avg_num_keypoints
6.000000000000000125e-03,9.912103448275862320e+03
7.000000000000000146e-03,8.014965517241379530e+03
8.000000000000000167e-03,6.545068965517240940e+03
9.000000000000001055e-03,5.396620689655172100e+03
1.000000000000000021e-02,4.489758620689654890e+03
1.099999999999999936e-02,3.757965517241379530e+03
1.200000000000000025e-02,3.171655172413793025e+03
1.300000000000000114e-02,2.687344827586206975e+03
1.400000000000000029e-02,2.284413793103448370e+03
1.499999999999999944e-02,1.943724137931034420e+03
1.600000000000000033e-02,1.656068965517241395e+03
1.700000000000000122e-02,1.406793103448275815e+03
1.800000000000000211e-02,1.200793103448275815e+03
1.899999999999999953e-02,1.030482758620689765e+03
