threshold, avg_num_keypoints
1.000000000000000021e-03,3.614558620689655072e+04
2.000000000000000042e-03,2.167882758620689492e+04
3.000000000000000062e-03,1.494296551724137862e+04
4.000000000000000083e-03,1.095737931034482790e+04
5.000000000000000104e-03,8.287275862068965580e+03
6.000000000000000125e-03,6.410862068965517210e+03
7.000000000000000146e-03,5.035448275862068840e+03
8.000000000000000167e-03,4.036379310344827445e+03
9.000000000000001055e-03,3.262620689655172555e+03
1.000000000000000021e-02,2.665413793103448370e+03
1.099999999999999936e-02,2.171724137931034420e+03
1.200000000000000025e-02,1.774034482758620697e+03
1.300000000000000114e-02,1.457172413793103487e+03
1.400000000000000029e-02,1.200137931034482790e+03
1.499999999999999944e-02,9.944482758620689538e+02
1.600000000000000033e-02,8.254827586206896513e+02
1.700000000000000122e-02,6.934137931034482563e+02
1.800000000000000211e-02,5.839655172413793025e+02
1.899999999999999953e-02,4.955517241379310462e+02
2.000000000000000042e-02,4.237586206896551744e+02
2.100000000000000130e-02,3.643448275862069181e+02
2.199999999999999872e-02,3.147931034482758719e+02
2.299999999999999961e-02,2.746896551724137794e+02
2.400000000000000050e-02,2.405517241379310462e+02
2.500000000000000139e-02,2.098620689655172384e+02
