threshold, avg_num_keypoints
1.000000000000000021e-03,4.769513793103448552e+04
2.000000000000000042e-03,2.981179310344827536e+04
3.000000000000000062e-03,2.122437931034482608e+04
4.000000000000000083e-03,1.599458620689655254e+04
5.000000000000000104e-03,1.246444827586206884e+04
6.000000000000000125e-03,9.912103448275862320e+03
7.000000000000000146e-03,8.014965517241379530e+03
8.000000000000000167e-03,6.545068965517240940e+03
9.000000000000001055e-03,5.396620689655172100e+03
1.000000000000000021e-02,4.489758620689654890e+03
1.099999999999999936e-02,3.757965517241379530e+03
1.200000000000000025e-02,3.171655172413793025e+03
1.300000000000000114e-02,2.687344827586206975e+03
1.400000000000000029e-02,2.284413793103448370e+03
1.499999999999999944e-02,1.943724137931034420e+03
1.600000000000000033e-02,1.656068965517241395e+03
1.700000000000000122e-02,1.406793103448275815e+03
1.800000000000000211e-02,1.200793103448275815e+03
1.899999999999999953e-02,1.030482758620689765e+03
2.000000000000000042e-02,8.823793103448275588e+02
2.100000000000000130e-02,7.580000000000000000e+02
2.199999999999999872e-02,6.545517241379310462e+02
2.299999999999999961e-02,5.653448275862068613e+02
2.400000000000000050e-02,4.930000000000000000e+02
2.500000000000000139e-02,4.311034482758620925e+02
