threshold, avg_num_keypoints
1.000000000000000021e-03,4.272786206896551448e+04
2.000000000000000042e-03,2.601206896551724276e+04
3.000000000000000062e-03,1.810713793103448188e+04
4.000000000000000083e-03,1.334762068965517210e+04
5.000000000000000104e-03,1.016613793103448188e+04
6.000000000000000125e-03,7.893000000000000000e+03
7.000000000000000146e-03,6.225793103448276270e+03
8.000000000000000167e-03,4.957689655172413950e+03
9.000000000000001055e-03,3.987000000000000000e+03
1.000000000000000021e-02,3.237310344827586050e+03
1.099999999999999936e-02,2.647482758620689765e+03
1.200000000000000025e-02,2.190517241379310235e+03
1.300000000000000114e-02,1.817310344827586277e+03
1.400000000000000029e-02,1.514586206896551630e+03
1.499999999999999944e-02,1.258275862068965580e+03
1.600000000000000033e-02,1.044655172413793025e+03
1.700000000000000122e-02,8.631724137931034875e+02
1.800000000000000211e-02,7.145862068965517437e+02
1.899999999999999953e-02,5.966896551724138362e+02
2.000000000000000042e-02,4.946896551724137794e+02
2.100000000000000130e-02,4.102758620689655231e+02
2.199999999999999872e-02,3.411724137931034306e+02
2.299999999999999961e-02,2.824137931034482563e+02
2.400000000000000050e-02,2.367586206896551744e+02
2.500000000000000139e-02,1.991379310344827616e+02
