threshold, avg_num_keypoints
9.000000000000000000e+01,8.813172413793103260e+03
9.500000000000000000e+01,7.380689655172413950e+03
1.000000000000000000e+02,6.117724137931034420e+03
1.050000000000000000e+02,5.011862068965517210e+03
1.100000000000000000e+02,4.056689655172413950e+03
1.150000000000000000e+02,3.230862068965517210e+03
1.200000000000000000e+02,2.533379310344827445e+03
1.250000000000000000e+02,1.956103448275862092e+03
1.300000000000000000e+02,1.498965517241379303e+03
1.350000000000000000e+02,1.158689655172413723e+03
