threshold, avg_num_keypoints
1.050000000000000000e+02,8.669310344827586960e+03
1.100000000000000000e+02,7.323827586206896740e+03
1.150000000000000000e+02,6.147103448275862320e+03
1.200000000000000000e+02,5.116931034482759060e+03
1.250000000000000000e+02,4.224310344827586050e+03
1.300000000000000000e+02,3.463137931034482790e+03
1.350000000000000000e+02,2.816965517241379530e+03
1.400000000000000000e+02,2.264758620689655345e+03
1.450000000000000000e+02,1.809000000000000000e+03
1.500000000000000000e+02,1.441068965517241395e+03
