threshold, avg_num_keypoints
8.000000000000000000e+01,9.979206896551724640e+03
8.500000000000000000e+01,8.311689655172413040e+03
9.000000000000000000e+01,6.898724137931034420e+03
9.500000000000000000e+01,5.672448275862068840e+03
1.000000000000000000e+02,4.600586206896551630e+03
1.050000000000000000e+02,3.673862068965517210e+03
1.100000000000000000e+02,2.887034482758620470e+03
1.150000000000000000e+02,2.214034482758620470e+03
1.200000000000000000e+02,1.652275862068965580e+03
1.250000000000000000e+02,1.202517241379310235e+03
