threshold, avg_num_keypoints
6.500000000000000000e+01,1.701310344827586232e+04
7.000000000000000000e+01,1.424475862068965580e+04
7.500000000000000000e+01,1.193658620689655254e+04
8.000000000000000000e+01,9.979206896551724640e+03
8.500000000000000000e+01,8.311689655172413040e+03
9.000000000000000000e+01,6.898724137931034420e+03
9.500000000000000000e+01,5.672448275862068840e+03
1.000000000000000000e+02,4.600586206896551630e+03
1.050000000000000000e+02,3.673862068965517210e+03
1.100000000000000000e+02,2.887034482758620470e+03
1.150000000000000000e+02,2.214034482758620470e+03
1.200000000000000000e+02,1.652275862068965580e+03
1.250000000000000000e+02,1.202517241379310235e+03
1.300000000000000000e+02,8.581724137931034875e+02
1.350000000000000000e+02,6.153448275862068613e+02
1.400000000000000000e+02,4.457241379310344769e+02
1.450000000000000000e+02,3.156896551724137794e+02
1.500000000000000000e+02,2.156551724137931103e+02
