threshold, avg_num_keypoints
5.000000000000000104e-03,8.278310344827586960e+03
6.000000000000000125e-03,6.247551724137931160e+03
7.000000000000000146e-03,4.871448275862068840e+03
8.000000000000000167e-03,3.879206896551724185e+03
9.000000000000001055e-03,3.139551724137931160e+03
1.000000000000000021e-02,2.578000000000000000e+03
1.099999999999999936e-02,2.118103448275861865e+03
1.200000000000000025e-02,1.741241379310344882e+03
1.300000000000000114e-02,1.447241379310344882e+03
1.400000000000000029e-02,1.207000000000000000e+03
1.499999999999999944e-02,1.010482758620689651e+03
