threshold, avg_num_keypoints
6.000000000000000125e-03,9.672241379310344200e+03
7.000000000000000146e-03,7.658965517241379530e+03
8.000000000000000167e-03,6.175931034482759060e+03
9.000000000000001055e-03,5.051344827586206520e+03
1.000000000000000021e-02,4.192448275862068840e+03
1.099999999999999936e-02,3.506448275862068840e+03
1.200000000000000025e-02,2.956275862068965580e+03
1.300000000000000114e-02,2.510655172413793025e+03
1.400000000000000029e-02,2.142896551724138135e+03
1.499999999999999944e-02,1.831344827586206975e+03
1.600000000000000033e-02,1.566517241379310235e+03
1.700000000000000122e-02,1.347517241379310235e+03
1.800000000000000211e-02,1.161413793103448370e+03
1.899999999999999953e-02,1.004172413793103487e+03
