threshold, avg_num_keypoints
6.000000000000000125e-03,7.683034482758620470e+03
7.000000000000000146e-03,5.943793103448276270e+03
8.000000000000000167e-03,4.689172413793103260e+03
9.000000000000001055e-03,3.751241379310344655e+03
1.000000000000000021e-02,3.049034482758620470e+03
1.099999999999999936e-02,2.498931034482758605e+03
1.200000000000000025e-02,2.062275862068965580e+03
1.300000000000000114e-02,1.714724137931034420e+03
1.400000000000000029e-02,1.430137931034482790e+03
1.499999999999999944e-02,1.191241379310344882e+03
