threshold, avg_num_keypoints
1.000000000000000021e-03,4.073917241379310144e+04
2.000000000000000042e-03,2.383182758620689492e+04
3.000000000000000062e-03,1.595868965517241304e+04
4.000000000000000083e-03,1.131272413793103442e+04
5.000000000000000104e-03,8.278310344827586960e+03
6.000000000000000125e-03,6.247551724137931160e+03
7.000000000000000146e-03,4.871448275862068840e+03
8.000000000000000167e-03,3.879206896551724185e+03
9.000000000000001055e-03,3.139551724137931160e+03
1.000000000000000021e-02,2.578000000000000000e+03
1.099999999999999936e-02,2.118103448275861865e+03
1.200000000000000025e-02,1.741241379310344882e+03
1.300000000000000114e-02,1.447241379310344882e+03
1.400000000000000029e-02,1.207000000000000000e+03
1.499999999999999944e-02,1.010482758620689651e+03
1.600000000000000033e-02,8.522068965517241850e+02
1.700000000000000122e-02,7.239310344827586050e+02
1.800000000000000211e-02,6.211379310344827900e+02
1.899999999999999953e-02,5.350689655172413950e+02
2.000000000000000042e-02,4.658965517241379075e+02
2.100000000000000130e-02,4.090000000000000000e+02
2.199999999999999872e-02,3.602068965517241281e+02
2.299999999999999961e-02,3.216206896551724412e+02
2.400000000000000050e-02,2.884827586206896513e+02
2.500000000000000139e-02,2.572758620689655231e+02
