threshold, avg_num_keypoints
1.000000000000000021e-03,5.288710344827586232e+04
2.000000000000000042e-03,3.238420689655172464e+04
3.000000000000000062e-03,2.243934482758620652e+04
4.000000000000000083e-03,1.644127586206896376e+04
5.000000000000000104e-03,1.246910344827586232e+04
6.000000000000000125e-03,9.672241379310344200e+03
7.000000000000000146e-03,7.658965517241379530e+03
8.000000000000000167e-03,6.175931034482759060e+03
9.000000000000001055e-03,5.051344827586206520e+03
1.000000000000000021e-02,4.192448275862068840e+03
1.099999999999999936e-02,3.506448275862068840e+03
1.200000000000000025e-02,2.956275862068965580e+03
1.300000000000000114e-02,2.510655172413793025e+03
1.400000000000000029e-02,2.142896551724138135e+03
1.499999999999999944e-02,1.831344827586206975e+03
1.600000000000000033e-02,1.566517241379310235e+03
1.700000000000000122e-02,1.347517241379310235e+03
1.800000000000000211e-02,1.161413793103448370e+03
1.899999999999999953e-02,1.004172413793103487e+03
2.000000000000000042e-02,8.724482758620689538e+02
2.100000000000000130e-02,7.583448275862068613e+02
2.199999999999999872e-02,6.650689655172413950e+02
2.299999999999999961e-02,5.852068965517241850e+02
2.400000000000000050e-02,5.173793103448275588e+02
2.500000000000000139e-02,4.592758620689655231e+02
