threshold, avg_num_keypoints
3.000000000000000062e-03,9.139000000000000000e+03
3.000000000000000062e-03,9.736000000000000000e+03
3.000000000000000062e-03,7.935000000000000000e+03
3.000000000000000062e-03,8.884000000000000000e+03
3.000000000000000062e-03,9.606000000000000000e+03
3.000000000000000062e-03,9.031000000000000000e+03
3.000000000000000062e-03,7.761000000000000000e+03
4.000000000000000083e-03,7.492000000000000000e+03
4.000000000000000083e-03,7.721000000000000000e+03
4.000000000000000083e-03,5.620000000000000000e+03
4.000000000000000083e-03,6.716000000000000000e+03
4.000000000000000083e-03,7.731000000000000000e+03
4.000000000000000083e-03,9.712000000000000000e+03
4.000000000000000083e-03,5.534000000000000000e+03
4.000000000000000083e-03,7.799000000000000000e+03
4.000000000000000083e-03,9.670000000000000000e+03
4.000000000000000083e-03,5.522000000000000000e+03
4.000000000000000083e-03,9.369000000000000000e+03
4.000000000000000083e-03,8.666000000000000000e+03
4.000000000000000083e-03,5.950000000000000000e+03
4.000000000000000083e-03,5.740000000000000000e+03
4.000000000000000083e-03,5.197000000000000000e+03
4.000000000000000083e-03,8.454000000000000000e+03
4.000000000000000083e-03,9.378000000000000000e+03
4.000000000000000083e-03,6.668000000000000000e+03
4.000000000000000083e-03,9.590000000000000000e+03
5.000000000000000104e-03,5.213000000000000000e+03
5.000000000000000104e-03,5.524000000000000000e+03
5.000000000000000104e-03,3.727000000000000000e+03
5.000000000000000104e-03,8.515000000000000000e+03
5.000000000000000104e-03,8.807000000000000000e+03
5.000000000000000104e-03,4.820000000000000000e+03
5.000000000000000104e-03,5.274000000000000000e+03
5.000000000000000104e-03,7.178000000000000000e+03
5.000000000000000104e-03,3.943000000000000000e+03
5.000000000000000104e-03,5.103000000000000000e+03
5.000000000000000104e-03,8.374000000000000000e+03
5.000000000000000104e-03,6.973000000000000000e+03
5.000000000000000104e-03,3.702000000000000000e+03
5.000000000000000104e-03,8.475000000000000000e+03
5.000000000000000104e-03,6.377000000000000000e+03
5.000000000000000104e-03,8.626000000000000000e+03
5.000000000000000104e-03,6.042000000000000000e+03
5.000000000000000104e-03,3.985000000000000000e+03
5.000000000000000104e-03,3.839000000000000000e+03
5.000000000000000104e-03,8.242000000000000000e+03
5.000000000000000104e-03,7.785000000000000000e+03
5.000000000000000104e-03,3.792000000000000000e+03
5.000000000000000104e-03,6.096000000000000000e+03
5.000000000000000104e-03,6.536000000000000000e+03
5.000000000000000104e-03,4.608000000000000000e+03
5.000000000000000104e-03,7.346000000000000000e+03
5.000000000000000104e-03,7.186000000000000000e+03
5.000000000000000104e-03,6.968000000000000000e+03
6.000000000000000125e-03,3.794000000000000000e+03
6.000000000000000125e-03,4.081000000000000000e+03
6.000000000000000125e-03,2.645000000000000000e+03
6.000000000000000125e-03,6.203000000000000000e+03
6.000000000000000125e-03,6.356000000000000000e+03
6.000000000000000125e-03,3.622000000000000000e+03
