threshold, avg_num_keypoints
6.000000000000000125e-03,7.893000000000000000e+03
7.000000000000000146e-03,6.225793103448276270e+03
8.000000000000000167e-03,4.957689655172413950e+03
9.000000000000001055e-03,3.987000000000000000e+03
1.000000000000000021e-02,3.237310344827586050e+03
1.099999999999999936e-02,2.647482758620689765e+03
1.200000000000000025e-02,2.190517241379310235e+03
1.300000000000000114e-02,1.817310344827586277e+03
1.400000000000000029e-02,1.514586206896551630e+03
1.499999999999999944e-02,1.258275862068965580e+03
1.600000000000000033e-02,1.044655172413793025e+03
