threshold, avg_num_keypoints
1.000000000000000021e-03,3.165410344827586232e+04
2.000000000000000042e-03,1.834189655172413768e+04
3.000000000000000062e-03,1.225706896551724094e+04
4.000000000000000083e-03,8.699241379310344200e+03
5.000000000000000104e-03,6.353793103448276270e+03
6.000000000000000125e-03,4.738275862068965580e+03
7.000000000000000146e-03,3.584344827586206975e+03
8.000000000000000167e-03,2.776172413793103260e+03
9.000000000000001055e-03,2.171551724137931160e+03
1.000000000000000021e-02,1.717172413793103487e+03
1.099999999999999936e-02,1.355793103448275815e+03
1.200000000000000025e-02,1.066862068965517210e+03
1.300000000000000114e-02,8.419310344827586050e+02
1.400000000000000029e-02,6.643793103448275588e+02
1.499999999999999944e-02,5.260689655172413950e+02
1.600000000000000033e-02,4.167241379310344769e+02
1.700000000000000122e-02,3.315172413793103487e+02
1.800000000000000211e-02,2.646896551724137794e+02
1.899999999999999953e-02,2.127586206896551744e+02
2.000000000000000042e-02,1.720344827586206975e+02
2.100000000000000130e-02,1.397241379310344769e+02
2.199999999999999872e-02,1.147931034482758577e+02
2.299999999999999961e-02,9.544827586206896797e+01
2.400000000000000050e-02,8.020689655172414234e+01
2.500000000000000139e-02,6.682758620689655515e+01
