threshold, avg_num_keypoints
4.000000000000000083e-03,9.685000000000000000e+03
5.000000000000000104e-03,9.363000000000000000e+03
5.000000000000000104e-03,8.370000000000000000e+03
5.000000000000000104e-03,7.224000000000000000e+03
5.000000000000000104e-03,8.139000000000000000e+03
5.000000000000000104e-03,8.146000000000000000e+03
6.000000000000000125e-03,9.174000000000000000e+03
6.000000000000000125e-03,7.772000000000000000e+03
6.000000000000000125e-03,7.459000000000000000e+03
6.000000000000000125e-03,9.410000000000000000e+03
6.000000000000000125e-03,6.753000000000000000e+03
6.000000000000000125e-03,8.588000000000000000e+03
6.000000000000000125e-03,9.959000000000000000e+03
6.000000000000000125e-03,7.644000000000000000e+03
6.000000000000000125e-03,9.151000000000000000e+03
6.000000000000000125e-03,8.387000000000000000e+03
6.000000000000000125e-03,5.535000000000000000e+03
6.000000000000000125e-03,6.512000000000000000e+03
6.000000000000000125e-03,6.471000000000000000e+03
6.000000000000000125e-03,8.595000000000000000e+03
7.000000000000000146e-03,8.548000000000000000e+03
7.000000000000000146e-03,7.433000000000000000e+03
7.000000000000000146e-03,5.976000000000000000e+03
7.000000000000000146e-03,8.850000000000000000e+03
7.000000000000000146e-03,9.114000000000000000e+03
7.000000000000000146e-03,6.113000000000000000e+03
7.000000000000000146e-03,7.649000000000000000e+03
7.000000000000000146e-03,9.925000000000000000e+03
7.000000000000000146e-03,5.525000000000000000e+03
7.000000000000000146e-03,6.821000000000000000e+03
7.000000000000000146e-03,8.157000000000000000e+03
7.000000000000000146e-03,5.946000000000000000e+03
7.000000000000000146e-03,7.387000000000000000e+03
7.000000000000000146e-03,9.319000000000000000e+03
7.000000000000000146e-03,9.735000000000000000e+03
7.000000000000000146e-03,8.682000000000000000e+03
7.000000000000000146e-03,6.495000000000000000e+03
7.000000000000000146e-03,4.406000000000000000e+03
7.000000000000000146e-03,8.471000000000000000e+03
7.000000000000000146e-03,9.061000000000000000e+03
7.000000000000000146e-03,5.352000000000000000e+03
7.000000000000000146e-03,9.504000000000000000e+03
7.000000000000000146e-03,5.181000000000000000e+03
7.000000000000000146e-03,7.163000000000000000e+03
7.000000000000000146e-03,8.473000000000000000e+03
7.000000000000000146e-03,9.856000000000000000e+03
8.000000000000000167e-03,6.992000000000000000e+03
8.000000000000000167e-03,6.194000000000000000e+03
8.000000000000000167e-03,4.654000000000000000e+03
8.000000000000000167e-03,7.137000000000000000e+03
8.000000000000000167e-03,7.332000000000000000e+03
8.000000000000000167e-03,5.073000000000000000e+03
8.000000000000000167e-03,6.247000000000000000e+03
8.000000000000000167e-03,8.365000000000000000e+03
8.000000000000000167e-03,4.563000000000000000e+03
8.000000000000000167e-03,5.455000000000000000e+03
8.000000000000000167e-03,9.586000000000000000e+03
8.000000000000000167e-03,6.768000000000000000e+03
8.000000000000000167e-03,4.646000000000000000e+03
8.000000000000000167e-03,6.029000000000000000e+03
8.000000000000000167e-03,7.522000000000000000e+03
8.000000000000000167e-03,8.041000000000000000e+03
8.000000000000000167e-03,6.991000000000000000e+03
8.000000000000000167e-03,5.048000000000000000e+03
8.000000000000000167e-03,3.568000000000000000e+03
8.000000000000000167e-03,7.037000000000000000e+03
8.000000000000000167e-03,7.262000000000000000e+03
8.000000000000000167e-03,4.494000000000000000e+03
8.000000000000000167e-03,7.962000000000000000e+03
8.000000000000000167e-03,9.451000000000000000e+03
8.000000000000000167e-03,8.218000000000000000e+03
8.000000000000000167e-03,4.256000000000000000e+03
8.000000000000000167e-03,6.070000000000000000e+03
8.000000000000000167e-03,6.870000000000000000e+03
8.000000000000000167e-03,7.976000000000000000e+03
9.000000000000001055e-03,5.706000000000000000e+03
9.000000000000001055e-03,5.111000000000000000e+03
9.000000000000001055e-03,3.720000000000000000e+03
9.000000000000001055e-03,5.827000000000000000e+03
9.000000000000001055e-03,5.969000000000000000e+03
9.000000000000001055e-03,4.234000000000000000e+03
9.000000000000001055e-03,5.224000000000000000e+03
9.000000000000001055e-03,7.136000000000000000e+03
9.000000000000001055e-03,3.816000000000000000e+03
9.000000000000001055e-03,4.455000000000000000e+03
9.000000000000001055e-03,7.867000000000000000e+03
9.000000000000001055e-03,5.639000000000000000e+03
9.000000000000001055e-03,3.682000000000000000e+03
9.000000000000001055e-03,5.006000000000000000e+03
9.000000000000001055e-03,6.240000000000000000e+03
9.000000000000001055e-03,6.666000000000000000e+03
9.000000000000001055e-03,5.671000000000000000e+03
9.000000000000001055e-03,3.970000000000000000e+03
9.000000000000001055e-03,2.907000000000000000e+03
9.000000000000001055e-03,5.877000000000000000e+03
9.000000000000001055e-03,5.868000000000000000e+03
9.000000000000001055e-03,3.792000000000000000e+03
9.000000000000001055e-03,6.735000000000000000e+03
9.000000000000001055e-03,7.844000000000000000e+03
9.000000000000001055e-03,6.741000000000000000e+03
9.000000000000001055e-03,3.567000000000000000e+03
9.000000000000001055e-03,5.146000000000000000e+03
9.000000000000001055e-03,5.635000000000000000e+03
9.000000000000001055e-03,6.451000000000000000e+03
1.000000000000000194e-02,4.746000000000000000e+03
1.000000000000000194e-02,4.321000000000000000e+03
1.000000000000000194e-02,3.010000000000000000e+03
1.000000000000000194e-02,4.815000000000000000e+03
1.000000000000000194e-02,4.953000000000000000e+03
1.000000000000000194e-02,3.612000000000000000e+03
1.000000000000000194e-02,4.414000000000000000e+03
1.000000000000000194e-02,6.109000000000000000e+03
1.000000000000000194e-02,3.238000000000000000e+03
