threshold, avg_num_keypoints
6.500000000000000000e+01,2.024541379310344928e+04
7.000000000000000000e+01,1.716575862068965580e+04
7.500000000000000000e+01,1.458275862068965580e+04
8.000000000000000000e+01,1.236275862068965580e+04
8.500000000000000000e+01,1.044924137931034420e+04
9.000000000000000000e+01,8.813172413793103260e+03
9.500000000000000000e+01,7.380689655172413950e+03
1.000000000000000000e+02,6.117724137931034420e+03
1.050000000000000000e+02,5.011862068965517210e+03
1.100000000000000000e+02,4.056689655172413950e+03
1.150000000000000000e+02,3.230862068965517210e+03
1.200000000000000000e+02,2.533379310344827445e+03
1.250000000000000000e+02,1.956103448275862092e+03
1.300000000000000000e+02,1.498965517241379303e+03
1.350000000000000000e+02,1.158689655172413723e+03
1.400000000000000000e+02,9.037586206896551175e+02
1.450000000000000000e+02,6.998965517241379075e+02
1.500000000000000000e+02,5.364827586206896513e+02
