threshold, avg_num_keypoints
6.500000000000000000e+01,3.001682758620689492e+04
7.000000000000000000e+01,2.567686206896551812e+04
7.500000000000000000e+01,2.201444827586206884e+04
8.000000000000000000e+01,1.889231034482758696e+04
8.500000000000000000e+01,1.624017241379310326e+04
9.000000000000000000e+01,1.393544827586206884e+04
9.500000000000000000e+01,1.193065517241379348e+04
1.000000000000000000e+02,1.020175862068965580e+04
1.050000000000000000e+02,8.669310344827586960e+03
1.100000000000000000e+02,7.323827586206896740e+03
1.150000000000000000e+02,6.147103448275862320e+03
1.200000000000000000e+02,5.116931034482759060e+03
1.250000000000000000e+02,4.224310344827586050e+03
1.300000000000000000e+02,3.463137931034482790e+03
1.350000000000000000e+02,2.816965517241379530e+03
1.400000000000000000e+02,2.264758620689655345e+03
1.450000000000000000e+02,1.809000000000000000e+03
1.500000000000000000e+02,1.441068965517241395e+03
