threshold, avg_num_keypoints
1.000000000000000021e-03,3.560924137931034784e+04
2.000000000000000042e-03,2.010893103448275724e+04
3.000000000000000062e-03,1.305810344827586232e+04
4.000000000000000083e-03,8.967896551724137680e+03
5.000000000000000104e-03,6.340689655172413950e+03
6.000000000000000125e-03,4.618103448275862320e+03
7.000000000000000146e-03,3.489793103448275815e+03
8.000000000000000167e-03,2.693172413793103260e+03
9.000000000000001055e-03,2.111517241379310235e+03
1.000000000000000021e-02,1.680965517241379303e+03
1.099999999999999936e-02,1.335310344827586277e+03
1.200000000000000025e-02,1.055310344827586277e+03
1.300000000000000114e-02,8.437931034482758150e+02
1.400000000000000029e-02,6.747241379310345337e+02
1.499999999999999944e-02,5.382758620689654663e+02
1.600000000000000033e-02,4.331724137931034306e+02
1.700000000000000122e-02,3.500689655172413950e+02
1.800000000000000211e-02,2.852413793103448256e+02
1.899999999999999953e-02,2.340000000000000000e+02
2.000000000000000042e-02,1.929310344827586334e+02
2.100000000000000130e-02,1.611034482758620641e+02
2.199999999999999872e-02,1.348965517241379359e+02
2.299999999999999961e-02,1.152758620689655231e+02
2.400000000000000050e-02,9.882758620689655515e+01
2.500000000000000139e-02,8.251724137931034875e+01
