threshold, avg_num_keypoints
1.000000000000000021e-03,4.726727586206896376e+04
2.000000000000000042e-03,2.816231034482758696e+04
3.000000000000000062e-03,1.906641379310344928e+04
4.000000000000000083e-03,1.366651724137930978e+04
5.000000000000000104e-03,1.013734482758620652e+04
6.000000000000000125e-03,7.683034482758620470e+03
7.000000000000000146e-03,5.943793103448276270e+03
8.000000000000000167e-03,4.689172413793103260e+03
9.000000000000001055e-03,3.751241379310344655e+03
1.000000000000000021e-02,3.049034482758620470e+03
1.099999999999999936e-02,2.498931034482758605e+03
1.200000000000000025e-02,2.062275862068965580e+03
1.300000000000000114e-02,1.714724137931034420e+03
1.400000000000000029e-02,1.430137931034482790e+03
1.499999999999999944e-02,1.191241379310344882e+03
1.600000000000000033e-02,9.923103448275861638e+02
1.700000000000000122e-02,8.294827586206896513e+02
1.800000000000000211e-02,6.949310344827586050e+02
1.899999999999999953e-02,5.843448275862068613e+02
2.000000000000000042e-02,4.927586206896551744e+02
2.100000000000000130e-02,4.146896551724137794e+02
2.199999999999999872e-02,3.500000000000000000e+02
2.299999999999999961e-02,2.965172413793103487e+02
2.400000000000000050e-02,2.525172413793103487e+02
2.500000000000000139e-02,2.168965517241379359e+02
