threshold, avg_num_keypoints
5.000000000000000104e-03,9.412000000000000000e+03
5.000000000000000104e-03,8.856000000000000000e+03
5.000000000000000104e-03,9.316000000000000000e+03
5.000000000000000104e-03,9.827000000000000000e+03
5.000000000000000104e-03,7.277000000000000000e+03
5.000000000000000104e-03,9.217000000000000000e+03
5.000000000000000104e-03,9.032000000000000000e+03
6.000000000000000125e-03,9.149000000000000000e+03
6.000000000000000125e-03,6.926000000000000000e+03
6.000000000000000125e-03,7.875000000000000000e+03
6.000000000000000125e-03,9.030000000000000000e+03
6.000000000000000125e-03,6.900000000000000000e+03
6.000000000000000125e-03,7.996000000000000000e+03
6.000000000000000125e-03,7.001000000000000000e+03
6.000000000000000125e-03,9.854000000000000000e+03
6.000000000000000125e-03,7.360000000000000000e+03
6.000000000000000125e-03,5.548000000000000000e+03
6.000000000000000125e-03,7.322000000000000000e+03
6.000000000000000125e-03,6.963000000000000000e+03
6.000000000000000125e-03,9.661000000000000000e+03
7.000000000000000146e-03,8.347000000000000000e+03
7.000000000000000146e-03,7.337000000000000000e+03
7.000000000000000146e-03,5.253000000000000000e+03
7.000000000000000146e-03,8.203000000000000000e+03
7.000000000000000146e-03,8.182000000000000000e+03
7.000000000000000146e-03,6.316000000000000000e+03
7.000000000000000146e-03,7.226000000000000000e+03
7.000000000000000146e-03,9.594000000000000000e+03
7.000000000000000146e-03,5.543000000000000000e+03
7.000000000000000146e-03,6.157000000000000000e+03
7.000000000000000146e-03,7.953000000000000000e+03
7.000000000000000146e-03,5.405000000000000000e+03
7.000000000000000146e-03,7.802000000000000000e+03
7.000000000000000146e-03,8.606000000000000000e+03
7.000000000000000146e-03,9.392000000000000000e+03
7.000000000000000146e-03,7.965000000000000000e+03
7.000000000000000146e-03,5.592000000000000000e+03
7.000000000000000146e-03,4.329000000000000000e+03
7.000000000000000146e-03,8.449000000000000000e+03
7.000000000000000146e-03,8.513000000000000000e+03
7.000000000000000146e-03,5.957000000000000000e+03
7.000000000000000146e-03,9.361000000000000000e+03
7.000000000000000146e-03,9.104000000000000000e+03
7.000000000000000146e-03,5.471000000000000000e+03
7.000000000000000146e-03,7.724000000000000000e+03
7.000000000000000146e-03,8.188000000000000000e+03
7.000000000000000146e-03,9.199000000000000000e+03
8.000000000000000167e-03,6.787000000000000000e+03
8.000000000000000167e-03,5.922000000000000000e+03
8.000000000000000167e-03,4.116000000000000000e+03
8.000000000000000167e-03,6.615000000000000000e+03
8.000000000000000167e-03,6.599000000000000000e+03
8.000000000000000167e-03,5.220000000000000000e+03
8.000000000000000167e-03,5.862000000000000000e+03
8.000000000000000167e-03,7.889000000000000000e+03
8.000000000000000167e-03,4.544000000000000000e+03
8.000000000000000167e-03,4.942000000000000000e+03
8.000000000000000167e-03,8.459000000000000000e+03
8.000000000000000167e-03,6.379000000000000000e+03
8.000000000000000167e-03,4.296000000000000000e+03
8.000000000000000167e-03,6.334000000000000000e+03
8.000000000000000167e-03,6.906000000000000000e+03
8.000000000000000167e-03,7.666000000000000000e+03
8.000000000000000167e-03,6.383000000000000000e+03
8.000000000000000167e-03,4.297000000000000000e+03
8.000000000000000167e-03,3.457000000000000000e+03
8.000000000000000167e-03,6.815000000000000000e+03
8.000000000000000167e-03,6.752000000000000000e+03
